1418055555.139	participantNumber	1	""
1418055555.149	participantGender	m	""
1418055555.149	participantAge	14	""
.329	browser	focus	""
.367	chat	focus	""
.369	browser	focus	""
15.062	chat	focus	""
15.063	chat	focus	""
15.068	browser	focus	""
15.264	mail	focus	""
15.322	start conditie	false_true	""
15.501	chat	scroll	"5"
76.614	mail	focus	""
78.571	mail	focus	""
80.697	mail	focus	""
82.395	mail	focus	""
84.368	mail	focus	""
100.324	mail	focus	""
303.178	browser	focus	""
303.946	chat	focus	""
304.574	mail	focus	""
306.735	chat	focus	""
307.942	mail	focus	""
332.658	mail	focus	""
333.946	mail	focus	""
335.634	mail	focus	""
