1335968049.166	participantNumber	11	""
1335968049.168	participantGender	f	""
1335968049.168	participantAge	24	""
.177	browser	focus	""
.238	chat	focus	""
.395	mail	focus	""
.445	start conditie	true_false	""
.663	chat	scroll	"5"
8.622	mail	select	"mp3-player Huma Y-21 $99.99"
11.044	mail	loaded	"mp3-player Huma Y-21 $99.99"
14.771	browser	focus	""
16.477	browser	linkRequest1	"Mp3-players.html"
18.860	browser	link1	"Mp3-players.html"
19.797	browser	linkRequest2	"Huma.html"
23.203	mail	focus	""
23.225	browser	link2	"Huma.html"
24.971	mail	loaded	"mp3-player Huma Y-21 $99.99"
27.611	browser	focus	""
31.540	browser	linkRequest3	"Huma-Y-21.html"
33.359	browser	link3	"Huma-Y-21.html"
34.891	mail	focus	""
36.344	mail	reply	"$99.99"
36.368	compose	focus	""
37.343	compose	type	"9"
37.372	mail	loaded	"mp3-player Huma Y-21 $99.99"
37.472	compose	type	"99"
37.952	compose	type	"99."
38.352	compose	type	"99.9"
38.520	compose	type	"99.99"
40.110	compose	send	"99.99"
40.112	mail	focus	""
40.274	chat	prompt	"Have you seen the movie <i>The Green Mile</i> ?"
41.658	mail	loaded	"mp3-player Huma Y-21 $99.99"
41.801	chat	focus	""
46.047	chat	type	"n"
46.279	chat	type	"no"
46.423	chat	type	"nop"
48.918	chat	msg	"nop"
50.516	mail	focus	""
53.204	mail	loaded	"mp3-player Huma Y-21 $99.99"
55.136	browser	focus	""
56.520	mail	focus	""
58.143	mail	loaded	"mp3-player Huma Y-21 $99.99"
59.129	mail	move	"Archive"
60.310	mail	select	"laptop Mallsoft S-88 $86.99"
62.228	mail	loaded	"laptop Mallsoft S-88 $86.99"
64.784	browser	focus	""
64.901	chat	prompt	"Have you seen the movie <i>Atonement</i> ?"
65.854	browser	home	""
68.315	browser	linkRequest1	"Laptops.html"
72.359	browser	link1	"Laptops.html"
74.339	browser	linkRequest2	"Mallsoft.html"
77.354	mail	focus	""
77.844	browser	link2	"Mallsoft.html"
79.775	mail	loaded	"laptop Mallsoft S-88 $86.99"
81.624	browser	focus	""
83.331	browser	linkRequest3	"Mallsoft-S-88.html"
84.326	browser	link3	"Mallsoft-S-88.html"
86.067	mail	focus	""
87.318	mail	reply	"$86.99"
87.328	compose	focus	""
87.812	mail	loaded	"laptop Mallsoft S-88 $86.99"
88.561	compose	type	"8"
88.919	compose	type	"86"
89.487	compose	type	"86."
90.055	compose	type	"86.9"
90.199	compose	type	"86.99"
91.601	compose	send	"86.99"
91.602	mail	focus	""
93.506	chat	focus	""
94.139	mail	loaded	"laptop Mallsoft S-88 $86.99"
97.357	chat	type	"n"
97.588	chat	type	"no"
98.372	chat	msg	"no"
99.476	mail	focus	""
101.720	mail	loaded	"laptop Mallsoft S-88 $86.99"
103.901	mail	move	"Archive"
105.757	mail	select	"photocamera Beta J-83 $65.99"
108.193	mail	loaded	"photocamera Beta J-83 $65.99"
111.007	browser	focus	""
112.020	browser	home	""
112.954	browser	linkRequest1	"Photocameras.html"
114.983	browser	link1	"Photocameras.html"
116.474	browser	linkRequest2	"Beta.html"
121.144	mail	focus	""
121.163	browser	link2	"Beta.html"
122.826	mail	loaded	"photocamera Beta J-83 $65.99"
125.493	browser	focus	""
127.330	browser	linkRequest3	"Beta-J-83.html"
129.228	browser	link3	"Beta-J-83.html"
129.429	chat	prompt	"Have you seen the movie <i>The Insider</i> ?"
130.808	mail	focus	""
132.431	mail	loaded	"photocamera Beta J-83 $65.99"
132.686	mail	reply	"$65.99"
132.698	compose	focus	""
133.983	compose	type	"6"
134.261	compose	type	"65"
134.831	compose	type	"65."
135.221	compose	type	"65.9"
135.340	compose	type	"65.99"
136.541	compose	send	"65.99"
136.542	mail	focus	""
138.710	mail	loaded	"photocamera Beta J-83 $65.99"
139.870	mail	move	"Archive"
140.796	mail	select	"mp3-player Killor O-10 $51.99"
141.891	chat	focus	""
141.945	chat	scroll	"5"
143.501	mail	loaded	"mp3-player Killor O-10 $51.99"
145.092	chat	type	"n"
145.332	chat	type	"no"
145.772	chat	type	"no."
146.273	chat	type	"no.."
146.356	chat	type	"no..."
146.440	chat	type	"no...."
146.523	chat	type	"no....."
146.607	chat	type	"no......"
146.690	chat	type	"no......."
147.331	chat	msg	"no......."
148.918	mail	focus	""
150.935	mail	loaded	"mp3-player Killor O-10 $51.99"
153.805	browser	focus	""
154.787	browser	home	""
155.761	browser	linkRequest1	"Mp3-players.html"
159.084	mail	focus	""
159.237	browser	link1	"Mp3-players.html"
160.487	mail	loaded	"mp3-player Killor O-10 $51.99"
162.667	browser	focus	""
164.137	browser	linkRequest2	"Killor.html"
166.752	browser	link2	"Killor.html"
166.868	chat	prompt	"Do you want to see it?"
169.217	browser	linkRequest3	"Killor-O-10.html"
170.567	browser	link3	"Killor-O-10.html"
171.999	mail	focus	""
173.481	mail	reply	"$51.99"
173.509	compose	focus	""
173.682	mail	loaded	"mp3-player Killor O-10 $51.99"
174.871	compose	type	"5"
175.316	compose	type	"51"
176.084	compose	type	"51."
176.564	compose	type	"51.9"
176.707	compose	type	"51.99"
178.065	compose	send	"51.99"
178.066	mail	focus	""
180.546	mail	loaded	"mp3-player Killor O-10 $51.99"
181.757	mail	move	"Archive"
183.514	mail	select	"mp3-player Huma G-73 $75.99"
184.003	mail	select	"laptop Rinox F-18 $57.99"
184.922	mail	loaded	"laptop Rinox F-18 $57.99"
186.045	mail	loaded	"laptop Rinox F-18 $57.99"
188.264	browser	focus	""
189.370	browser	home	""
190.496	browser	linkRequest1	"Laptops.html"
193.669	browser	link1	"Laptops.html"
194.608	browser	linkRequest2	"Rinox.html"
197.443	mail	focus	""
198.514	browser	link2	"Rinox.html"
198.850	mail	loaded	"laptop Rinox F-18 $57.99"
201.152	browser	focus	""
202.800	browser	linkRequest3	"Rinox-F-18.html"
205.417	browser	link3	"Rinox-F-18.html"
207.218	mail	focus	""
208.660	mail	loaded	"laptop Rinox F-18 $57.99"
210.150	mail	reply	"$57.99"
210.180	compose	focus	""
211.517	compose	type	"5"
211.923	compose	type	"57"
212.500	compose	type	"57."
212.971	compose	type	"57.9"
213.123	compose	type	"57.99"
214.316	compose	send	"57.99"
214.317	mail	focus	""
215.877	mail	move	"Archive"
216.897	chat	focus	""
220.275	chat	type	"y"
