1336573292.021	participantNumber	22	""
1336573292.023	participantGender	m	""
1336573292.023	participantAge	35	""
.159	browser	focus	""
.240	chat	focus	""
.390	mail	focus	""
.423	start conditie	true_true	""
.617	chat	scroll	"5"
2.776	mail	select	"laptop Zanium F-22 $74.99"
2.983	chat	prompt	"What is your favorite <i>song</i>?"
4.620	chat	focus	""
5.177	mail	loaded	"laptop Zanium F-22 $74.99"
7.557	chat	type	"I"
7.638	chat	type	"I "
7.941	chat	type	"I w"
8.069	chat	type	"I wa"
8.349	chat	type	"I wan"
8.469	chat	type	"I wann"
8.572	chat	type	"I wanna"
8.693	chat	type	"I wanna "
8.957	chat	type	"I wanna R"
9.197	chat	type	"I wanna Ro"
9.565	chat	type	"I wanna Roc"
9.701	chat	type	"I wanna Rock"
9.957	chat	msg	"I wanna Rock"
11.602	mail	focus	""
13.910	mail	loaded	"laptop Zanium F-22 $74.99"
18.046	browser	focus	""
18.173	chat	prompt	"What is your least favorite?"
19.246	browser	linkRequest1	"Laptops.html"
24.037	chat	focus	""
24.066	browser	link1	"Laptops.html"
25.349	chat	type	"t"
25.555	chat	type	"tw"
25.893	chat	type	"twi"
26.051	chat	type	"twis"
26.269	chat	type	"twist"
26.372	chat	type	"twiste"
26.525	chat	type	"twisted"
26.676	chat	type	"twisted "
26.843	chat	type	"twisted s"
27.101	chat	type	"twisted si"
27.221	chat	type	"twisted sis"
27.373	chat	type	"twisted sist"
27.461	chat	type	"twisted siste"
27.605	chat	type	"twisted sister"
27.916	chat	msg	"twisted sister"
29.743	browser	focus	""
31.542	browser	linkRequest2	"Zanium.html"
35.434	browser	link2	"Zanium.html"
39.574	browser	linkRequest3	"Zanium-F-22.html"
41.883	browser	link3	"Zanium-F-22.html"
45.467	mail	focus	""
45.562	mail	reply	"$74.99"
45.601	compose	focus	""
46.603	compose	type	"7"
46.981	compose	type	"74"
47.237	compose	type	"74,"
47.403	mail	loaded	"laptop Zanium F-22 $74.99"
47.485	compose	type	"74,9"
47.611	compose	type	"74,99"
48.197	compose	type	"74,99"
49.753	compose	send	"74,99"
49.765	mail	focus	""
52.074	mail	loaded	"laptop Zanium F-22 $74.99"
52.100	mail	move	"Archive"
53.248	mail	select	"mp3-player Huma K-52 $62.99"
55.686	mail	loaded	"mp3-player Huma K-52 $62.99"
60.917	browser	focus	""
62.263	browser	home	""
63.741	browser	linkRequest1	"Mp3-players.html"
66.192	browser	link1	"Mp3-players.html"
67.429	browser	linkRequest2	"Huma.html"
69.593	browser	link2	"Huma.html"
72.037	browser	linkRequest3	"Huma-K-52.html"
73.502	browser	link3	"Huma-K-52.html"
73.611	chat	prompt	"What is your favorite <i>actress</i>?"
75.833	chat	focus	""
84.693	chat	type	"m"
84.907	chat	type	"mi"
85.195	chat	type	"mic"
85.443	chat	type	"mich"
85.547	chat	type	"miche"
85.755	chat	type	"michel"
85.899	chat	type	"michell"
85.970	chat	type	"michelle"
86.082	chat	type	"michelle "
86.258	chat	type	"michelle h"
86.435	chat	type	"michelle hu"
86.603	chat	type	"michelle hun"
86.979	chat	type	"michelle hunz"
87.155	chat	type	"michelle hunzi"
87.611	chat	type	"michelle hunzik"
87.834	chat	type	"michelle hunzike"
87.923	chat	type	"michelle hunziker"
88.780	chat	msg	"michelle hunziker"
90.275	browser	focus	""
93.390	browser	home	""
93.910	mail	focus	""
94.004	mail	reply	"$62.99"
94.048	compose	focus	""
95.300	compose	type	"6"
95.333	mail	loaded	"mp3-player Huma K-52 $62.99"
95.644	compose	type	"62"
95.956	compose	type	"62,"
96.204	compose	type	"62,9"
96.332	compose	type	"62,99"
97.148	compose	type	"62,99"
98.177	compose	send	"62,99"
98.178	mail	focus	""
100.280	mail	move	"Archive"
100.910	mail	select	"laptop Rinox G-39 $72.99"
102.579	mail	loaded	"laptop Rinox G-39 $72.99"
105.172	browser	focus	""
106.550	mail	focus	""
108.790	mail	loaded	"laptop Rinox G-39 $72.99"
111.678	browser	focus	""
113.004	browser	linkRequest1	"Laptops.html"
115.844	browser	link1	"Laptops.html"
117.115	browser	linkRequest2	"Rinox.html"
119.552	browser	link2	"Rinox.html"
120.963	browser	linkRequest3	"Rinox-G-39.html"
122.731	browser	link3	"Rinox-G-39.html"
124.989	browser	home	""
126.454	mail	focus	""
126.547	mail	reply	"$72.99"
126.568	compose	focus	""
127.691	compose	type	"7"
127.995	compose	type	"72"
128.152	mail	loaded	"laptop Rinox G-39 $72.99"
128.235	compose	type	"72,"
128.468	compose	type	"72,9"
128.587	compose	type	"72,99"
129.575	compose	send	"72,99"
129.576	mail	focus	""
129.644	chat	prompt	"What is your least favorite?"
131.091	mail	loaded	"laptop Rinox G-39 $72.99"
134.360	mail	move	"Archive"
135.690	chat	focus	""
141.874	chat	type	"n"
142.082	chat	type	"no"
142.978	chat	type	"noo"
143.194	chat	type	"noon"
143.394	chat	type	"noone"
143.937	chat	msg	"noone"
147.021	mail	focus	""
147.039	mail	select	"laptop Leviti B-64 $85.99"
148.647	mail	loaded	"laptop Leviti B-64 $85.99"
148.937	mail	loaded	"laptop Leviti B-64 $85.99"
153.794	browser	focus	""
155.090	browser	linkRequest1	"Laptops.html"
158.572	browser	link1	"Laptops.html"
160.218	browser	linkRequest2	"Leviti.html"
163.832	browser	link2	"Leviti.html"
163.965	chat	prompt	"What is your favorite <i>dessert</i>?"
165.010	browser	linkRequest3	"Leviti-B-64.html"
167.984	chat	focus	""
168.010	browser	link3	"Leviti-B-64.html"
171.193	chat	type	"l"
171.369	chat	type	"le"
171.513	chat	type	"lem"
171.737	chat	type	"lemo"
172.225	chat	type	"lemon"
172.993	chat	type	"lemon "
173.177	chat	type	"lemon i"
173.665	chat	type	"lemon ic"
173.881	chat	type	"lemon ice"
174.113	chat	type	"lemon iced"
174.327	chat	msg	"lemon iced"
175.778	browser	focus	""
178.289	browser	home	""
178.754	mail	focus	""
178.838	mail	reply	"$85.99"
178.863	compose	focus	""
180.122	compose	type	"8"
180.413	mail	loaded	"laptop Leviti B-64 $85.99"
180.415	compose	type	"85"
181.010	compose	type	"85,"
181.242	compose	type	"85,9"
181.352	compose	type	"85,99"
182.503	compose	send	"85,99"
182.505	mail	focus	""
184.583	mail	move	"Archive"
185.700	mail	select	"photocamera Okidan O-60 $96.99"
188.044	mail	loaded	"photocamera Okidan O-60 $96.99"
193.667	browser	focus	""
194.777	browser	linkRequest1	"Photocameras.html"
196.935	browser	link1	"Photocameras.html"
197.084	chat	prompt	"What is your least favorite?"
199.177	browser	linkRequest2	"Okidan.html"
202.095	chat	focus	""
202.122	browser	link2	"Okidan.html"
209.056	chat	type	"c"
209.208	chat	type	"cr"
209.296	chat	type	"cre"
209.552	chat	type	"crea"
209.784	chat	type	"cream"
209.944	chat	type	"cream "
210.096	chat	type	"cream i"
210.544	chat	type	"cream ic"
210.648	chat	type	"cream ice"
210.751	chat	type	"cream iced"
211.288	chat	msg	"cream iced"
212.933	browser	focus	""
214.609	browser	linkRequest3	"Okidan-O-60.html"
215.615	browser	link3	"Okidan-O-60.html"
218.114	browser	home	""
218.624	mail	focus	""
218.707	mail	reply	"$96.99"
218.743	compose	focus	""
219.873	compose	type	"9"
220.225	compose	type	"96"
220.743	compose	type	"96,"
220.985	compose	type	"96,9"
221.085	mail	loaded	"photocamera Okidan O-60 $96.99"
221.097	compose	type	"96,99"
222.760	compose	send	"96,99"
222.762	mail	focus	""
224.887	mail	loaded	"photocamera Okidan O-60 $96.99"
225.453	mail	move	"Inbox"
226.299	mail	select	"laptop Leviti K-49 $72.99"
227.688	mail	loaded	"laptop Leviti K-49 $72.99"
232.236	browser	focus	""
233.544	browser	linkRequest1	"Laptops.html"
236.830	mail	focus	""
236.862	browser	link1	"Laptops.html"
238.313	mail	loaded	"laptop Leviti K-49 $72.99"
239.303	browser	focus	""
240.976	browser	linkRequest2	"Leviti.html"
243.464	browser	link2	"Leviti.html"
246.912	browser	linkRequest3	"Leviti-K-49.html"
248.119	browser	link3	"Leviti-K-49.html"
250.578	browser	home	""
251.298	mail	focus	""
251.408	mail	reply	"$72.99"
251.427	compose	focus	""
252.488	compose	type	"7"
252.800	compose	type	"72"
253.056	compose	type	"72,"
253.288	compose	type	"72,9"
253.303	mail	loaded	"laptop Leviti K-49 $72.99"
253.406	compose	type	"72,99"
254.758	compose	send	"72,99"
254.759	mail	focus	""
257.176	mail	loaded	"laptop Leviti K-49 $72.99"
258.348	mail	move	"Archive"
258.597	chat	prompt	"What is your favorite <i>brand of clothing</i>?"
259.136	mail	select	"laptop Leviti E-71 $75.99"
260.756	chat	focus	""
261.615	mail	loaded	"laptop Leviti E-71 $75.99"
266.383	chat	type	"m"
266.551	chat	type	"mo"
267.126	chat	type	"mos"
267.199	chat	type	"mosc"
267.415	chat	type	"mosch"
267.607	chat	type	"moschi"
267.775	chat	type	"moschin"
267.989	chat	type	"moschino"
268.246	chat	msg	"moschino"
270.653	mail	focus	""
272.195	mail	loaded	"laptop Leviti E-71 $75.99"
276.947	browser	focus	""
278.695	browser	linkRequest1	"Laptops.html"
282.031	browser	link1	"Laptops.html"
283.783	browser	linkRequest2	"Leviti.html"
286.496	browser	link2	"Leviti.html"
288.167	browser	linkRequest3	"Leviti-E-71.html"
290.567	browser	link3	"Leviti-E-71.html"
294.129	browser	home	""
295.084	mail	focus	""
295.180	mail	reply	"$75.99"
295.202	compose	focus	""
296.399	compose	type	"7"
296.557	chat	prompt	"What is your favorite <i>movie</i>?"
296.769	mail	loaded	"laptop Leviti E-71 $75.99"
296.893	compose	type	"75"
297.149	compose	type	"75,"
297.383	compose	type	"75,9"
297.503	compose	type	"75,99"
298.612	compose	send	"75,99"
298.616	mail	focus	""
300.388	mail	move	"Archive"
301.530	chat	focus	""
313.126	chat	scroll	"5"
314.661	chat	type	"p"
314.901	chat	type	"pu"
315.102	chat	type	"pul"
315.293	chat	type	"pulp"
315.373	chat	type	"pulp "
315.677	chat	type	"pulp f"
315.925	chat	type	"pulp fi"
316.158	chat	type	"pulp fic"
